Subgenus,Species,Accession.No,Tissue.code,Pigment,Mean,n,sd
Grammica,C_australis,1382,y,b.Carotene,18.770841438117035,2,7.430131066013484
Grammica,C_australis,1382,o,Neoxanthin,0,3,0
Grammica,C_australis,1382,o,Lutein.epoxide,0,3,0
Grammica,C_australis,1382,o,Lutein,1.3155708821155834,3,0.34540028258631544
Grammica,C_australis,1382,o,b.Carotene,1.5577933882428265,3,2.1875120263533114
Grammica,C_australis,1382,h,Neoxanthin,0,2,0
Grammica,C_australis,1382,h,Lutein.epoxide,0.35806504814495993,2,0.5063804472983776
Grammica,C_australis,1382,h,Lutein,5.823282445756,2,5.098600134035582
Grammica,C_australis,1382,h,b.Carotene,45.002846334411274,2,24.62433009997237
Grammica,C_australis,1382,s,Neoxanthin,0,1,NA
Grammica,C_australis,1382,s,Lutein.epoxide,0.8307446809559998,1,NA
Grammica,C_australis,1382,s,Lutein,26.963577131065495,1,NA
Grammica,C_australis,1382,s,b.Carotene,18.6447101087381,1,NA
Grammica,C_californica,ss17-105,y,Neoxanthin,0,6,0
Grammica,C_californica,ss17-105,y,Lutein.epoxide,0.09113591262166668,6,0.22323648316595648
Grammica,C_californica,ss17-105,y,Lutein,6.568715088094892,6,4.089247118725714
Grammica,C_californica,ss17-105,y,b.Carotene,16.98138693334445,6,8.942989196653746
Grammica,C_californica,ss17-105,o,Neoxanthin,0,9,0
Grammica,C_californica,ss17-105,o,Lutein.epoxide,0,9,0
Grammica,C_californica,ss17-105,o,Lutein,2.0309323079520367,9,0.5371117708372964
Grammica,C_californica,ss17-105,o,b.Carotene,12.584515536080533,9,4.507451650076267
Grammica,C_californica,ss17-105,h,Neoxanthin,0,7,0
Grammica,C_californica,ss17-105,h,Lutein.epoxide,0.08066208799275001,7,0.2134118250600257
Grammica,C_californica,ss17-105,h,Lutein,6.728049899613861,7,4.0573020846674686
Grammica,C_californica,ss17-105,h,b.Carotene,15.12934020639387,7,7.8221028756916855
Grammica,C_californica,ss17-105,f,Neoxanthin,0,6,0
Grammica,C_californica,ss17-105,f,Lutein.epoxide,0,6,0
Grammica,C_californica,ss17-105,f,Lutein,5.66676639640899,6,1.357736747877057
Grammica,C_californica,ss17-105,f,b.Carotene,9.619867360303422,6,2.13069702738126
Grammica,C_cephalanthii,1567,y,Neoxanthin,0.2306764544344757,7,0.39980124619889434
Grammica,C_cephalanthii,1567,y,Lutein.epoxide,0.08735340054511713,7,0.23111537401819396
Grammica,C_cephalanthii,1567,y,Lutein,22.437339588032298,7,7.612987059089066
Grammica,C_cephalanthii,1567,y,b.Carotene,7.846846057494727,7,1.840433405658358
Grammica,C_cephalanthii,1567,o,Neoxanthin,0,14,0
Grammica,C_cephalanthii,1567,o,Lutein.epoxide,0,14,0
Grammica,C_cephalanthii,1567,o,Lutein,1.340309306168035,14,0.44538883893325076
Grammica,C_cephalanthii,1567,o,b.Carotene,14.584275847710552,14,3.613361426602611
Grammica,C_cephalanthii,1567,h,Neoxanthin,0.3060600666961625,4,0.3710923607356276
Grammica,C_cephalanthii,1567,h,Lutein.epoxide,0.388644651273395,4,0.30674544674846993
Grammica,C_cephalanthii,1567,h,Lutein,8.36379658686826,4,4.184365186915185
Grammica,C_cephalanthii,1567,h,b.Carotene,8.729737071945825,4,3.97881184357242
Grammica,C_cephalanthii,1567,f,Neoxanthin,1.3151131609944198,2,0.1288230567328535
Grammica,C_cephalanthii,1567,f,Lutein.epoxide,1.167421134976125,2,0.132387354900997
Grammica,C_cephalanthii,1567,f,Lutein,14.917621179286636,2,0.669888955987639
Grammica,C_cephalanthii,1567,f,b.Carotene,6.05136020889844,2,0.24132109876104016
Grammica,C_cephalanthii,1567,s,Neoxanthin,1.420672692017796,5,0.19360571135390237
Grammica,C_cephalanthii,1567,s,Lutein.epoxide,0.775088308311746,5,0.4576685017364802
Grammica,C_cephalanthii,1567,s,Lutein,27.71292074882721,5,4.73344034722619
Grammica,C_cephalanthii,1567,s,b.Carotene,10.770415163563342,5,2.1407739228477825
Grammica,C_compacta,1566,sdlg,Neoxanthin,0,6,0
Grammica,C_compacta,1566,sdlg,Lutein.epoxide,0,6,0
Grammica,C_compacta,1566,sdlg,Lutein,10.577766590935255,6,3.601695388014245
Grammica,C_compacta,1566,sdlg,b.Carotene,3.632149133015453,6,1.2963019990022702
Grammica,C_compacta,1566,y,Neoxanthin,0,5,0
Grammica,C_compacta,1566,y,Lutein.epoxide,0.0883603818258,5,0.19757982028032575
Grammica,C_compacta,1566,y,Lutein,23.78271055332538,5,4.818401956348567
Grammica,C_compacta,1566,y,b.Carotene,10.007521676017623,5,2.621668572615411
Grammica,C_compacta,1566,o,Neoxanthin,0,4,0
Grammica,C_compacta,1566,o,Lutein.epoxide,0.08596212137373,4,0.17192424274746
Grammica,C_compacta,1566,o,Lutein,2.4304017827247075,4,0.9688744534944279
Grammica,C_compacta,1566,o,b.Carotene,26.814486161233145,4,7.348770077668207
Grammica,C_compacta,1566,h,Neoxanthin,0,2,0
Grammica,C_compacta,1566,h,Lutein.epoxide,0,2,0
Grammica,C_compacta,1566,h,Lutein,11.62512589980053,2,1.9001274739993268
Grammica,C_compacta,1566,h,b.Carotene,8.51601058162261,2,11.420896110068206
Grammica,C_compacta,1566,f,Neoxanthin,0,1,NA
Grammica,C_compacta,1566,f,Lutein.epoxide,0,1,NA
Grammica,C_compacta,1566,f,Lutein,2.065718881443,1,NA
Grammica,C_compacta,1566,f,b.Carotene,1.80284066289957,1,NA
Grammica,C_costaricensis,CUCO,y,Neoxanthin,0,5,0
Grammica,C_costaricensis,CUCO,y,Lutein.epoxide,0,5,0
Grammica,C_costaricensis,CUCO,y,Lutein,5.5237181038928505,5,2.688919396223145
Grammica,C_costaricensis,CUCO,y,b.Carotene,21.997399143619912,5,6.562092978933137
Grammica,C_costaricensis,CUCO,o,Neoxanthin,0,8,0
Grammica,C_costaricensis,CUCO,o,Lutein.epoxide,0,8,0
Grammica,C_costaricensis,CUCO,o,Lutein,1.3516529924497287,8,0.27111432067165997
Grammica,C_costaricensis,CUCO,o,b.Carotene,18.90534291779628,8,1.893885035507151
Grammica,C_costaricensis,CUCO,h,Neoxanthin,0,6,0
Grammica,C_costaricensis,CUCO,h,Lutein.epoxide,0.09021205203533333,6,0.13977081615673836
Grammica,C_costaricensis,CUCO,h,Lutein,4.271573784968523,6,0.7135286145552281
Grammica,C_costaricensis,CUCO,h,b.Carotene,28.477260302367416,6,3.2663578419874315
Grammica,C_denticulata,ss13-46,sdlg,Neoxanthin,0,1,NA
Grammica,C_denticulata,ss13-46,sdlg,Lutein.epoxide,4.439870137044959,1,NA
Grammica,C_denticulata,ss13-46,sdlg,Lutein,12.238241361768338,1,NA
Grammica,C_denticulata,ss13-46,sdlg,b.Carotene,7.926915597225479,1,NA
Grammica,C_denticulata,ss13-46,y,Neoxanthin,0,7,0
Grammica,C_denticulata,ss13-46,y,Lutein.epoxide,0.4963298021988686,7,0.4649790922197678
Grammica,C_denticulata,ss13-46,y,Lutein,13.299298357927583,7,8.415105199929464
Grammica,C_denticulata,ss13-46,y,b.Carotene,17.698808462137798,7,5.216566805871184
Grammica,C_denticulata,ss13-46,o,Neoxanthin,0,5,0
Grammica,C_denticulata,ss13-46,o,Lutein.epoxide,0,5,0
Grammica,C_denticulata,ss13-46,o,Lutein,1.497914582795536,5,1.040933453954098
Grammica,C_denticulata,ss13-46,o,b.Carotene,9.47883300696913,5,3.3877896921736177
Grammica,C_denticulata,ss13-46,h,Neoxanthin,0,4,0
Grammica,C_denticulata,ss13-46,h,Lutein.epoxide,0.3322386477055075,4,0.383740520194335
Grammica,C_denticulata,ss13-46,h,Lutein,5.241930917787942,4,5.594782763531609
Grammica,C_denticulata,ss13-46,h,b.Carotene,13.996258502170992,4,7.907743424685973
Grammica,C_denticulata,ss13-46,f,Neoxanthin,0,2,0
Grammica,C_denticulata,ss13-46,f,Lutein.epoxide,1.32849617378485,2,0.5089258768995047
Grammica,C_denticulata,ss13-46,f,Lutein,9.484265236011598,2,2.8486642000620948
Grammica,C_denticulata,ss13-46,f,b.Carotene,17.52449339195674,2,0.30143418442087877
Grammica,C_gracillima,CUGR,y,Neoxanthin,0,2,0
Grammica,C_gracillima,CUGR,y,Lutein.epoxide,0,2,0
Grammica,C_gracillima,CUGR,y,Lutein,5.9941791655793795,2,1.6386955553435785
Grammica,C_gracillima,CUGR,y,b.Carotene,33.059810508395415,2,33.12876195695549
Grammica,C_gracillima,CUGR,o,Neoxanthin,0,2,0
Grammica,C_gracillima,CUGR,o,Lutein.epoxide,0,2,0
Grammica,C_gracillima,CUGR,o,Lutein,1.24059601885706,2,0.7138845927150664
Grammica,C_gracillima,CUGR,o,b.Carotene,9.357816461593451,2,2.115580704213262
Grammica,C_gracillima,CUGR,h,Neoxanthin,0,1,NA
Grammica,C_gracillima,CUGR,h,Lutein.epoxide,0,1,NA
Grammica,C_gracillima,CUGR,h,Lutein,10.956035571453151,1,NA
Grammica,C_gracillima,CUGR,h,b.Carotene,9.387986978748451,1,NA
Grammica,C_indecora,ss16-17,y,Neoxanthin,0,4,0
Grammica,C_indecora,ss16-17,y,Lutein.epoxide,0,4,0
Grammica,C_indecora,ss16-17,y,Lutein,1.63171008753539,4,0.14270264212081768
Grammica,C_indecora,ss16-17,y,b.Carotene,9.868036416465612,4,2.000026707806578
Grammica,C_indecora,ss16-17,o,Neoxanthin,0,4,0
Grammica,C_indecora,ss16-17,o,Lutein.epoxide,0,4,0
Grammica,C_indecora,ss16-17,o,Lutein,0.07359573609693001,4,0.14719147219386003
Grammica,C_indecora,ss16-17,o,b.Carotene,8.965469177171823,4,4.449146573877534
Grammica,C_indecora,ss16-17,h,Neoxanthin,0,2,0
Grammica,C_indecora,ss16-17,h,Lutein.epoxide,0.8426543032326499,2,0.3798091815586159
Grammica,C_indecora,ss16-17,h,Lutein,0.5906955261489599,2,0.1587228280664313
Grammica,C_indecora,ss16-17,h,b.Carotene,17.647247590136327,2,8.158864889226333
Grammica,C_indecora,ss16-17,f,Neoxanthin,0,3,0
Grammica,C_indecora,ss16-17,f,Lutein.epoxide,0.09747413798562002,3,0.16883015941507332
Grammica,C_indecora,ss16-17,f,Lutein,2.0214665100612796,3,1.0352160540879496
Grammica,C_indecora,ss16-17,f,b.Carotene,9.130679224936113,3,7.47666151348929
Grammica,C_polygonorum,1705,sdlg,Neoxanthin,1.2999599958930659,5,1.571467032571783
Grammica,C_polygonorum,1705,sdlg,Lutein.epoxide,0.885202835653246,5,0.9929145279262162
Grammica,C_polygonorum,1705,sdlg,Lutein,26.03491585211506,5,14.846857469385997
Grammica,C_polygonorum,1705,sdlg,b.Carotene,12.832631034139318,5,6.406516117959197
Grammica,C_polygonorum,1705,y,Neoxanthin,0,4,0
Grammica,C_polygonorum,1705,y,Lutein.epoxide,3.6409960320893147,4,5.785108421796001
Grammica,C_polygonorum,1705,y,Lutein,26.24101050691303,4,5.51951938699159
Grammica,C_polygonorum,1705,y,b.Carotene,18.068721590275352,4,3.230427171699748
Grammica,C_polygonorum,1705,o,Neoxanthin,0,5,0
Grammica,C_polygonorum,1705,o,Lutein.epoxide,0,5,0
Grammica,C_polygonorum,1705,o,Lutein,2.622049499312698,5,1.0852527125264104
Grammica,C_polygonorum,1705,o,b.Carotene,7.983920647384446,5,2.527251963502188
Grammica,C_polygonorum,1705,h,Neoxanthin,0.41211520709623667,3,0.36290471060908513
Grammica,C_polygonorum,1705,h,Lutein.epoxide,1.3263625897153635,3,0.24596993500417907
Grammica,C_polygonorum,1705,h,Lutein,17.07625965992355,3,2.5357844389372444
Grammica,C_polygonorum,1705,h,b.Carotene,46.747997149468745,3,10.090015018278018
Grammica,C_polygonorum,1705,f,Neoxanthin,0.7783494311919199,2,0.27834946156246027
Grammica,C_polygonorum,1705,f,Lutein.epoxide,1.09492999825935,2,0.24290375401954586
Grammica,C_polygonorum,1705,f,Lutein,16.130376755934783,2,5.653072696089145
Grammica,C_polygonorum,1705,f,b.Carotene,12.298872587007914,2,3.328099703992849
Grammica,C_polygonorum,1705,s,Neoxanthin,0.78260276772948,2,1.1067674480737517
Grammica,C_polygonorum,1705,s,Lutein.epoxide,0.8483535205857902,2,0.32677769068881335
Grammica,C_polygonorum,1705,s,Lutein,17.460318663973588,2,0.03732179710758189
Grammica,C_polygonorum,1705,s,b.Carotene,13.980764821542046,2,1.2097933253068631
Grammica,C_sandwichiana,155,sdlg,Neoxanthin,0,2,0
Grammica,C_sandwichiana,155,sdlg,Lutein.epoxide,0,2,0
Grammica,C_sandwichiana,155,sdlg,Lutein,13.878140920467999,2,1.4295087480787836
Grammica,C_sandwichiana,155,sdlg,b.Carotene,4.291398838602021,2,0.7562169896047278
Grammica,C_sandwichiana,155,y,Neoxanthin,0,5,0
Grammica,C_sandwichiana,155,y,Lutein.epoxide,0.581773912004904,5,0.36439016908775107
Grammica,C_sandwichiana,155,y,Lutein,4.817948188010302,5,0.8450795160336946
Grammica,C_sandwichiana,155,y,b.Carotene,7.743990843189782,5,4.16195348166523
Grammica,C_sandwichiana,155,o,Neoxanthin,0,4,0
Grammica,C_sandwichiana,155,o,Lutein.epoxide,0,4,0
Grammica,C_sandwichiana,155,o,Lutein,0.819532246361605,4,0.2695915210249734
Grammica,C_sandwichiana,155,o,b.Carotene,4.622084799811522,4,1.7407885333157156
Grammica,C_sandwichiana,155,h,Neoxanthin,0,5,0
Grammica,C_sandwichiana,155,h,Lutein.epoxide,0.18251401493425,5,0.25013140823531216
Grammica,C_sandwichiana,155,h,Lutein,7.504960514090088,5,3.08841143933267
Grammica,C_sandwichiana,155,h,b.Carotene,10.043603938697617,5,3.268230697170366
Grammica,C_sandwichiana,155,f,Neoxanthin,0,2,0
Grammica,C_sandwichiana,155,f,Lutein.epoxide,0.130668934232,2,0.18479377897173238
Grammica,C_sandwichiana,155,f,Lutein,6.62110170608168,2,3.0073656983993526
Grammica,C_sandwichiana,155,f,b.Carotene,3.1226138520646005,2,4.09295438708156
Grammica,C_tasmanica,17-15,y,Neoxanthin,0,8,0
Grammica,C_tasmanica,17-15,y,Lutein.epoxide,0,8,0
Grammica,C_tasmanica,17-15,y,Lutein,8.240766566958813,8,3.5164060840159497
Grammica,C_tasmanica,17-15,y,b.Carotene,26.60882668457245,8,7.38645999242062
Grammica,C_tasmanica,17-15,o,Neoxanthin,0,11,0
Grammica,C_tasmanica,17-15,o,Lutein.epoxide,0,11,0
Grammica,C_tasmanica,17-15,o,Lutein,1.4978702802000072,11,0.5008978625617592
Grammica,C_tasmanica,17-15,o,b.Carotene,16.316944487219622,11,5.310846246715746
Grammica,C_tasmanica,17-15,h,Neoxanthin,0,5,0
Grammica,C_tasmanica,17-15,h,Lutein.epoxide,0.35699136577356,5,0.11306419374900908
Grammica,C_tasmanica,17-15,h,Lutein,6.494473433084576,5,1.2757638488980547
Grammica,C_tasmanica,17-15,h,b.Carotene,15.384065412975783,5,2.0015190648042953
Grammica,C_tasmanica,17-15,f,Neoxanthin,0,7,0
Grammica,C_tasmanica,17-15,f,Lutein.epoxide,0.15178969124074287,7,0.14873474599590022
Grammica,C_tasmanica,17-15,f,Lutein,5.123312355216144,7,1.2151426383031398
Grammica,C_tasmanica,17-15,f,b.Carotene,12.648042978220463,7,6.749869420372408
Ipomoea_nil,Ipomoea_nil,IPNI,l,Neoxanthin,40.2466392817117,11,12.972304051134266
Ipomoea_nil,Ipomoea_nil,IPNI,l,Lutein.epoxide,2.436298297942202,11,4.192461205266604
Ipomoea_nil,Ipomoea_nil,IPNI,l,Lutein,129.10586869192105,11,27.95309570340777
Ipomoea_nil,Ipomoea_nil,IPNI,l,b.Carotene,45.086298682199995,11,10.178062933672946
Ipomoea_nil,Ipomoea_nil,IPNI,y,Neoxanthin,2.450084408886386,5,0.8883442421690788
Ipomoea_nil,Ipomoea_nil,IPNI,y,Lutein.epoxide,0,5,0
Ipomoea_nil,Ipomoea_nil,IPNI,y,Lutein,11.029429248743208,5,2.0445275706541737
Ipomoea_nil,Ipomoea_nil,IPNI,y,b.Carotene,4.399672268715392,5,1.0380156247606531
Ipomoea_nil,Ipomoea_nil,IPNI,o,Neoxanthin,3.3234921593151387,8,1.0224661703810305
Ipomoea_nil,Ipomoea_nil,IPNI,o,Lutein.epoxide,0,8,0
Ipomoea_nil,Ipomoea_nil,IPNI,o,Lutein,14.268818380791695,8,3.6366298653880262
Ipomoea_nil,Ipomoea_nil,IPNI,o,b.Carotene,5.641366157335956,8,1.6754529739237571
Monogynella,C_lupuliformis,CULU,sdlg,Neoxanthin,2.0245776300419625,4,0.6647092790166934
Monogynella,C_lupuliformis,CULU,sdlg,Lutein.epoxide,3.382793254503085,4,1.5532807777717836
Monogynella,C_lupuliformis,CULU,sdlg,Lutein,12.259837538739733,4,4.811369890631021
Monogynella,C_lupuliformis,CULU,sdlg,b.Carotene,7.08450293260257,4,2.503647615681824
Monogynella,C_monogyna,CUMO,sdlg,Neoxanthin,2.147454079868882,5,0.7506433241962001
Monogynella,C_monogyna,CUMO,sdlg,Lutein.epoxide,3.354585261668388,5,2.086777967540892
Monogynella,C_monogyna,CUMO,sdlg,Lutein,14.295535038774682,5,4.323153335698516
Monogynella,C_monogyna,CUMO,sdlg,b.Carotene,7.859653945468738,5,3.099803033091713
Monogynella,C_monogyna,CUMO,y,Neoxanthin,0.8831035623334345,9,0.33774926847154657
Monogynella,C_monogyna,CUMO,y,Lutein.epoxide,2.3490900168755067,9,1.2320379388297418
Monogynella,C_monogyna,CUMO,y,Lutein,15.567768224206528,9,6.80805618389422
Monogynella,C_monogyna,CUMO,y,b.Carotene,5.753264823559071,9,2.0950055253855546
Monogynella,C_monogyna,CUMO,o,Neoxanthin,0,7,0
Monogynella,C_monogyna,CUMO,o,Lutein.epoxide,0.5973578074695857,7,0.18056222482169718
Monogynella,C_monogyna,CUMO,o,Lutein,4.068530870548376,7,1.2032351906681096
Monogynella,C_monogyna,CUMO,o,b.Carotene,6.21382509776772,7,7.97092435565086
Monogynella,C_monogyna,CUMO,h,Neoxanthin,0,5,0
Monogynella,C_monogyna,CUMO,h,Lutein.epoxide,0.923525684284602,5,0.3257887729279084
Monogynella,C_monogyna,CUMO,h,Lutein,2.763756689584016,5,1.0476856288896534
Monogynella,C_monogyna,CUMO,h,b.Carotene,10.353580032957531,5,7.744435799576684
Monogynella,C_monogyna,CUMO,f,Neoxanthin,0,2,0
Monogynella,C_monogyna,CUMO,f,Lutein.epoxide,1.25315431571489,2,0.42126476613843145
Monogynella,C_monogyna,CUMO,f,Lutein,5.052470420303376,2,0.5080584771264806
Monogynella,C_monogyna,CUMO,f,b.Carotene,3.23729177764295,2,0.8495452332752829
